    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.000

  6  2  0  0   2
    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.000

  6  3  0  0   2
    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  6  4  0  0   2
    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  6  5  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0  1  0.000

  6  6  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0  1  0.000

  7  1  0  0   2
    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.500

  7  2  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.000

  7  3  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  7  4  0  0   2
    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000

  7  5  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0  1  0.000

  7  6  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0  1  0.500

  7  7  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.500

  7  8  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.500

  7  9  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000

  7 10  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000

  7 11  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0  1  0.500

  7 12  0  0   2
    1  0  0  0.000   -1  0  0  0.000
